Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA1 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA1 (UR)",
"8107904",26,8,65,33,28,79,0,17,8,15,76,363,
"8107906",16,7,45,39,45,93,0,13,3,26,56,349,
"8107905",10,8,54,35,50,83,0,15,15,23,84,381,
"8107907",14,17,47,27,37,78,0,16,3,8,53,298,
"8107901",10,6,48,28,26,61,0,11,6,21,52,264,
"8107908",17,8,51,22,26,81,0,10,3,17,43,280,
"8107909",3,4,23,31,47,70,0,17,6,13,74,296,
"8107902",24,13,60,23,41,90,0,16,5,18,80,370,
"8108009",0,0,0,0,0,0,0,0,0,0,0,0,
"8108005",7,3,33,17,13,41,0,3,5,3,9,128,
"8108002",23,8,70,30,50,109,0,23,9,26,49,390,
"8108006",37,8,71,20,12,39,0,3,3,34,13,236,
"8108008",0,0,0,0,0,0,0,0,0,0,0,0,
"8108003",27,24,88,47,58,141,0,28,24,28,61,535,
"8108011",77,8,163,47,35,99,0,11,23,32,85,588,
"8108007",0,0,0,0,0,4,0,0,0,7,0,11,
"8106405",106,37,140,43,26,97,0,10,9,43,89,600,
"8106416",75,15,64,12,8,42,0,6,0,23,71,319,
"8106417",9,4,19,4,8,7,0,0,0,3,0,52,
"8106402",88,30,115,34,24,70,0,24,16,13,109,533,
"8106403",36,8,64,16,17,41,0,13,5,144,30,380,
"8106404",68,26,143,31,40,70,0,6,4,52,39,480,
"8106407",33,20,64,18,10,36,0,11,0,12,49,253,
"8106413",41,18,102,23,16,65,0,6,5,18,71,369,
"8106409",0,0,0,0,0,0,0,0,0,0,0,0,
"8106410",29,6,58,9,22,32,0,6,9,28,22,226,
"8106401",52,19,97,17,6,45,0,6,8,33,25,306,
"8106411",93,31,210,37,36,93,0,14,12,52,52,627,
"8106414",3,0,10,4,16,37,0,14,0,16,6,122,
"8106415",45,15,65,22,19,34,0,13,5,17,71,307,
"8104018",0,0,0,0,0,0,0,0,0,0,0,0,
"8104005",37,5,81,40,40,75,0,5,8,28,106,419,
"8104007",46,11,74,38,42,112,0,13,14,10,140,504,
"8104024",24,6,53,11,24,72,0,4,3,9,68,272,
"8104025",31,11,72,23,28,89,0,20,9,26,44,346,
"8104008",52,19,87,49,46,104,0,7,10,23,132,530,
"8104002",31,13,56,25,23,72,0,17,10,19,62,328,
"8104017",25,12,64,31,35,94,0,14,11,18,89,389,
"8104006",30,5,45,41,16,66,0,10,6,15,88,318,
"8104001",68,16,130,56,54,150,0,15,20,47,101,652,
"8104019",17,7,28,21,17,52,0,17,4,12,47,222,
"8104016",0,0,0,0,0,0,0,0,0,0,0,0,
"8104020",0,0,0,0,0,0,0,0,0,0,0,0,
"8104026",79,17,129,68,37,143,0,6,18,55,63,618,
"8104013",20,13,49,32,33,71,0,4,7,10,76,306,
"8104011",0,0,0,0,0,0,0,0,0,0,0,0,
"8104015",28,6,61,44,32,88,0,14,19,22,86,392,
"8104401",41,18,96,48,53,128,0,13,12,22,160,601,
"8104402",69,15,109,41,38,116,0,18,3,24,166,596,
