Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA1 by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"SA1",
"8100713",32,45,0,27,0,0,0,5,4,122,
"8100712",54,55,0,29,0,0,0,4,9,159,
"8100709",40,45,0,43,0,0,0,10,14,150,
"8100708",38,51,0,17,0,0,0,8,8,117,
"8107605",61,53,0,13,0,0,0,5,5,138,
"8107608",57,69,0,13,0,0,0,4,8,147,
"8107609",44,33,0,3,0,0,0,4,4,85,
"8107607",0,0,0,0,0,0,0,0,0,0,
"8107603",68,69,0,12,0,0,0,5,3,167,
"8107602",54,68,0,4,0,0,0,3,6,136,
"8107606",65,63,0,13,0,0,0,9,16,163,
"8107601",47,52,0,11,0,0,0,0,17,123,
"8107604",49,74,0,7,0,0,0,0,4,137,
"8110110",39,42,0,10,0,0,0,4,3,94,
"8110109",67,46,0,4,0,0,0,0,8,129,
"8110108",84,53,0,30,5,0,0,4,17,190,
"8110107",63,69,0,42,0,0,0,10,13,190,
"8110106",31,21,0,34,0,12,4,8,31,143,
"8110101",26,31,0,47,0,0,0,0,15,119,
"8110105",68,47,4,9,0,10,8,7,30,174,
"8110104",39,46,0,20,0,0,0,6,20,129,
"8110102",52,55,0,21,0,0,0,4,12,143,
"8109304",96,102,0,42,0,0,0,3,17,268,
"8109301",115,48,0,52,0,0,4,15,31,266,
"8109306",81,76,0,46,0,0,0,10,27,248,
"8109303",75,60,0,26,0,0,0,13,14,186,
"8109305",62,91,0,34,0,0,0,14,23,227,
"8109302",27,38,0,18,0,0,0,5,17,98,
"8100801",43,38,0,53,6,0,0,7,7,149,
"8100811",30,28,0,16,0,0,0,3,7,78,
"8100812",47,37,0,53,3,0,0,10,11,158,
"8100807",68,62,0,98,0,0,0,8,22,266,
"8100810",48,51,0,32,0,0,0,7,9,150,
"8100803",47,51,0,46,0,0,0,10,6,161,
"8100802",57,62,0,52,0,0,0,13,12,192,
"8100806",62,39,0,12,0,0,0,3,6,126,
"8100805",56,56,0,58,3,0,0,4,6,189,
"8100808",13,24,0,97,0,0,0,16,17,174,
"8100804",21,25,0,71,0,0,4,9,10,134,
"8100809",90,41,0,40,0,0,0,10,10,195,
"8100902",35,40,0,13,0,0,4,0,4,93,
"8100908",49,51,0,11,0,0,0,6,7,129,
"8100904",49,49,0,6,0,0,0,0,10,114,
"8100905",36,60,0,13,0,0,0,3,12,123,
"8100909",36,41,0,23,0,0,0,3,4,109,
"8100906",61,65,0,9,0,0,0,8,11,157,
"8100901",34,58,0,32,0,0,0,5,8,132,
"8100910",39,52,0,30,0,0,0,6,10,135,
"8100907",28,38,0,26,0,0,0,8,17,111,
"8100903",49,74,0,21,0,0,0,3,8,153,
"8106301",79,77,0,164,5,0,3,58,89,471,
"8106303",73,43,0,39,5,0,0,0,14,179,
"8106304",34,28,0,7,0,0,0,3,19,85,
"8106302",42,28,0,10,0,0,0,4,16,101,
"8101005",70,80,0,26,0,0,0,12,10,205,
"8101004",56,59,0,13,0,0,0,0,14,139,
"8101001",54,46,0,23,0,0,0,9,9,145,
"8101003",46,85,0,9,0,0,0,5,8,156,
"8101002",32,58,0,16,0,0,0,7,11,123,
"8113002",0,0,0,0,0,0,0,0,0,0,
"8113003",0,0,0,0,0,0,0,0,0,3,
"8113007",0,0,0,0,0,0,0,0,0,3,
"8113005",0,0,0,0,0,0,0,0,0,0,
"8113004",0,0,0,0,0,0,0,0,0,0,
"8110206",37,24,0,26,0,0,0,0,13,101,
"8110203",59,47,0,46,0,0,0,16,16,185,
"8110202",58,63,0,53,0,4,6,13,22,224,
"8110205",39,28,0,12,0,0,0,4,9,103,
"8110204",62,35,0,0,0,0,0,7,9,113,
"8110209",44,43,0,4,0,0,0,6,5,101,
"8110211",51,35,0,37,3,0,0,9,11,144,
"8110201",0,0,0,0,0,0,0,0,0,0,
"8110210",0,0,0,0,0,0,0,0,5,5,
"8110207",65,69,0,193,0,0,0,12,27,369,
"8107708",0,0,0,0,0,0,0,0,0,0,
"8107703",24,59,0,23,0,0,0,8,11,120,
"8107706",33,54,0,17,4,0,0,3,8,112,
"8107705",30,80,0,39,0,0,0,10,5,160,
"8107704",32,39,0,39,0,0,0,8,6,127,
"8107701",54,87,0,63,0,0,0,14,13,226,
"8107707",46,57,0,13,0,0,0,3,7,124,
"8107702",33,34,0,50,0,0,0,11,6,134,
"8101101",79,92,0,28,0,0,0,9,15,231,
"8101103",78,95,0,42,0,0,0,8,19,237,
"8101107",0,0,0,0,0,0,0,0,0,0,
"8101102",41,48,0,21,0,0,0,7,3,130,
"8101108",29,24,0,15,0,0,0,5,10,85,
"8101104",57,75,0,37,3,0,0,19,13,199,
"8101110",29,34,0,28,0,0,0,0,9,106,
"8101105",33,38,0,33,0,0,0,4,7,119,
