Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA1 (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"8109705",24,18,29,36,36,23,15,18,12,0,0,214,
"8109706",49,35,27,50,44,38,41,28,5,4,0,320,
"8109708",50,48,42,63,60,38,36,33,10,0,0,383,
"8106108",59,59,62,88,80,71,37,28,12,0,0,500,
"8106107",39,46,21,54,56,47,22,31,14,3,0,330,
"8106101",71,46,67,75,64,54,21,28,14,0,0,436,
"8106109",72,53,27,55,68,63,32,21,17,0,0,406,
"8106112",48,38,28,60,53,43,22,16,3,3,0,314,
"8106103",56,33,64,127,61,43,21,9,0,0,0,418,
"8106114",58,22,175,197,58,20,21,11,0,0,0,568,
"8106113",51,17,64,84,32,24,17,11,8,0,0,300,
"8106118",0,4,0,0,0,0,0,3,0,0,0,4,
"8106115",51,47,16,42,59,42,20,14,0,0,0,296,
"8106110",47,56,35,57,56,36,33,23,7,4,0,358,
"8106102",44,34,58,38,55,40,27,25,17,4,0,343,
"8106111",44,34,23,53,46,42,26,42,15,6,0,321,
"8106106",46,26,28,44,42,19,20,6,4,0,0,243,
"8106119",74,60,49,78,69,63,34,4,0,3,0,434,
"8106117",0,0,0,0,0,0,0,0,0,0,0,0,
"8102607",59,45,71,55,66,42,41,36,14,0,0,427,
"8102606",61,83,45,45,101,55,65,60,29,3,0,547,
"8102601",32,44,28,27,40,49,33,33,10,0,0,307,
"8102603",32,79,31,28,57,59,39,35,14,0,0,381,
"8102602",25,25,21,24,20,35,25,9,13,0,0,204,
"8102605",28,25,17,29,36,25,26,33,15,3,0,230,
"8102604",58,89,42,47,81,54,55,41,14,0,0,472,
"8109814",62,39,40,51,64,53,35,41,13,4,0,401,
"8109810",26,21,11,24,21,20,20,14,4,3,0,170,
"8109808",59,59,23,56,76,43,53,51,11,0,0,433,
"8109807",19,30,30,41,38,45,39,40,68,34,0,389,
"8109809",67,60,35,51,89,58,48,62,22,0,0,497,
"8109804",42,21,18,25,33,27,40,37,9,0,0,244,
"8109801",39,19,21,46,46,34,37,54,59,24,0,380,
"8109806",27,9,24,70,23,35,41,38,19,9,0,299,
"8109802",51,30,30,41,55,39,38,33,8,0,0,319,
"8113301",0,0,0,0,0,0,4,0,0,0,0,4,
"8107004",19,28,15,20,34,60,60,33,18,9,0,287,
"8107001",21,39,22,24,49,42,51,37,10,0,0,290,
"8107005",52,49,22,46,62,66,65,27,22,4,0,418,
"8107007",38,41,64,38,75,74,69,35,31,9,0,466,
"8107008",22,37,23,17,27,43,49,23,8,0,0,249,
"8107003",36,45,46,34,45,56,98,62,12,4,0,438,
"8107006",25,23,28,27,32,46,59,35,18,8,0,297,
"8107002",54,43,42,38,61,64,74,39,20,3,0,449,
"8106008",17,15,243,150,34,32,15,6,0,0,0,509,
"8105305",0,175,229,4,0,0,0,0,0,0,0,414,
"8108010",0,0,0,0,0,0,0,0,0,0,0,0,
"8103909",67,33,48,68,54,29,21,3,0,0,0,316,
"8103915",74,28,42,79,47,27,18,4,0,0,0,315,
"8104415",39,31,83,80,52,16,10,5,0,0,0,317,
"8104426",86,49,173,119,66,25,4,3,0,0,0,521,
"8104410",18,10,78,59,10,7,4,0,0,0,0,185,
"8104414",49,35,40,40,50,23,5,7,0,0,0,252,
"8104714",0,0,0,0,0,0,0,0,0,0,0,0,
"8101904",98,43,67,127,62,26,12,3,5,0,0,450,
"8101905",119,48,93,136,64,39,15,6,0,0,0,529,
"8101918",58,32,48,71,45,13,9,0,0,0,0,284,
"8101902",146,35,137,196,61,30,21,7,3,0,0,635,
"8101914",65,22,42,78,30,20,12,0,0,0,0,266,
"8107514",0,0,0,0,0,0,0,0,0,0,0,0,
"8100622",81,56,28,51,52,18,16,7,3,0,0,309,
"8103506",96,57,52,100,59,14,11,0,0,0,0,399,
"8103501",62,48,47,80,49,19,8,9,0,0,0,311,
"8103505",91,42,37,90,48,9,9,5,0,0,0,327,
"8103520",64,35,46,93,28,24,15,3,0,0,0,311,
"8103522",80,45,60,104,53,14,11,4,3,0,0,362,
"8103815",81,56,29,79,88,41,20,6,5,0,0,401,
"8103809",73,69,19,54,71,9,11,3,5,0,0,323,
"8103807",66,37,18,69,74,26,12,6,0,0,0,296,
"8103804",77,73,47,77,97,41,28,6,3,0,0,437,
"8103806",50,56,16,34,81,28,10,0,0,0,0,285,
"8103813",96,39,30,87,58,23,12,6,0,0,0,348,
"8103808",82,53,45,97,62,35,25,8,3,0,0,408,
"8103814",68,43,37,60,84,28,13,9,0,0,0,342,
"8103810",80,58,13,86,64,29,18,5,0,0,0,353,
"8103811",62,32,23,52,57,19,11,4,0,0,0,267,
"8103604",94,50,68,145,56,23,18,0,0,0,0,468,
"8103610",54,24,90,77,34,13,9,3,5,0,0,301,
"8103608",118,74,83,153,74,38,33,5,0,0,0,581,
"8103601",98,53,79,133,62,50,23,7,0,0,0,518,
"8103616",118,65,55,120,81,52,29,3,0,0,0,532,
"8111501",0,0,0,0,0,0,0,0,0,0,0,0,
"8111502",10,15,5,11,21,23,18,9,0,0,0,120,
"8103805",77,44,44,80,54,37,10,7,0,0,0,352,
"8113101",20,11,113,98,47,59,29,9,0,0,0,375,
"8104027",20,7,49,69,14,19,12,10,0,0,0,206,
"8112001",9,9,3,12,9,0,4,0,0,0,0,47,
"8105301",34,27,216,160,98,74,74,34,15,6,0,724,
"8107314",48,42,32,36,45,30,20,14,3,0,0,268,
"8105113",7,0,117,82,14,17,15,15,4,0,0,280,
"8103910",33,23,185,108,32,20,3,0,0,0,0,396,
"8100215",0,0,0,0,0,0,0,0,0,0,0,0,
"8103911",17,3,74,67,10,14,8,3,0,0,0,189,
"8100206",69,114,834,377,91,54,22,0,5,0,0,1566,
"8103705",7,3,49,38,15,0,9,27,23,0,0,182,
"8113006",0,0,0,0,0,0,0,0,0,0,0,0,
"8103913",14,4,75,50,8,0,0,0,0,0,0,157,
"8103507",117,46,28,112,59,15,14,5,0,0,0,399,
"8103508",81,43,45,86,62,18,11,4,0,0,0,346,
"8105306",17,12,84,69,34,26,22,14,4,0,0,282,
"8108409",20,44,24,19,42,57,25,16,3,0,0,252,
"8103812",103,79,58,120,85,27,16,8,7,0,0,496,
"8103605",42,30,34,46,38,24,10,6,0,0,0,235,
"8113902",83,35,26,94,54,41,26,5,0,0,0,369,
"8113903",15,14,91,70,22,20,11,8,0,0,0,252,
"8103606",72,14,86,102,22,12,16,4,0,0,0,328,
"8113904",0,0,0,0,0,0,0,0,0,0,0,0,
"8109811",0,0,0,0,0,0,0,0,0,0,0,0,
"8109402",0,0,0,0,0,0,0,0,0,0,0,0,
"8101804",15,6,10,7,0,0,0,0,0,0,0,46,
"8111503",0,0,0,0,0,0,0,0,0,0,0,0,
"8103607",67,26,56,82,33,25,16,3,0,0,0,300,
"8103609",87,41,142,184,56,33,16,8,3,0,0,569,
"8103509",112,54,46,119,58,29,10,3,0,0,0,438,
"8113905",49,14,168,109,26,18,13,3,0,0,0,401,
"8113501",56,23,75,73,41,15,4,0,0,0,0,287,
"8100320",66,24,117,93,58,18,5,0,0,0,0,389,
"8113906",90,44,33,103,79,34,25,7,0,0,0,406,
"8103916",53,27,138,96,27,13,4,0,0,0,0,358,
"8103917",18,9,56,62,14,8,0,0,0,0,0,172,
"8101915",66,24,76,106,24,24,11,0,3,0,0,336,
"8104612",38,21,32,36,34,23,13,8,7,0,0,219,
"8110912",36,20,264,193,52,30,8,0,8,0,0,609,
"8112002",10,0,6,5,4,6,0,0,0,0,0,29,
"8100619",33,5,61,52,19,13,8,3,0,3,0,197,
"8100620",99,58,39,86,73,28,24,8,4,0,0,421,
"8113907",32,20,41,49,29,12,6,0,0,0,0,195,
"8109812",31,21,10,30,32,0,0,0,0,0,0,122,
"8103918",13,5,87,42,10,12,4,0,0,0,0,169,
"8109813",73,44,18,62,49,39,15,4,0,0,0,323,
"8103510",126,76,53,122,91,37,13,3,0,0,0,530,
"8103511",77,36,44,93,48,8,8,0,0,0,0,329,
"8103512",154,75,49,135,90,26,22,9,0,0,0,557,
"8103513",82,46,50,90,54,27,7,0,0,0,0,339,
"8103514",71,47,36,64,52,29,7,3,0,0,0,304,
"8103521",0,0,0,0,0,0,0,0,0,0,0,0,
"8103515",72,43,41,61,52,14,11,7,0,0,0,289,
"8103516",153,42,76,158,58,18,9,4,0,0,0,522,
"8103517",47,32,38,58,38,13,6,0,0,0,0,238,
"8103518",122,44,42,116,61,18,10,8,4,0,0,433,
"8103519",64,41,41,80,43,15,3,0,0,0,0,298,
"8111801",158,72,136,175,79,17,22,0,0,0,0,663,
"8103102",0,6,141,142,77,30,17,3,0,0,0,420,
"8103714",93,62,46,108,73,31,34,8,0,0,0,445,
"8103611",55,27,9,65,34,20,5,0,0,0,0,217,
"8103612",38,11,53,72,18,16,3,3,0,0,0,208,
"8103709",0,0,0,0,0,0,0,0,0,0,0,0,
"8103613",89,38,85,123,46,14,13,7,5,0,0,411,
"8103614",71,32,39,71,35,22,15,4,0,0,0,296,
"8103615",79,36,95,111,65,25,9,7,0,0,0,419,
"8103710",85,30,74,139,41,26,16,7,0,0,0,430,
"8103711",107,42,142,186,65,25,22,15,0,0,0,602,
"8103617",78,54,41,106,56,35,14,4,0,0,0,385,
"8103712",21,13,15,32,20,14,3,6,0,0,0,124,
"8103713",73,29,40,83,41,18,11,6,0,0,0,300,
"8111308",0,0,0,0,4,0,0,0,0,0,0,0,
"8104424",91,50,83,101,60,28,11,4,0,0,0,426,
"8101916",71,17,59,103,32,15,8,0,0,0,0,303,
"8113110",33,32,203,222,101,110,105,48,5,0,0,870,
"8113111",0,3,12,5,0,0,0,0,0,0,0,23,
"8101917",83,20,74,91,29,11,0,8,0,0,0,320,
"8101919",85,28,97,109,32,31,4,6,5,0,0,394,
"8104416",99,44,77,114,56,25,25,8,0,0,0,436,
"8104417",75,27,56,83,52,24,0,0,0,0,0,327,
"8104418",63,20,82,83,21,10,4,0,0,0,0,282,
"8104419",50,11,99,121,22,16,8,5,0,0,0,328,
"8104420",58,19,149,98,43,17,13,4,0,0,0,395,
"8104421",42,7,137,90,22,9,8,3,0,0,0,321,
"8113502",90,54,116,122,80,27,20,5,8,0,0,525,
"8104631",69,32,52,81,34,14,0,4,0,0,0,282,
"8104632",103,38,163,174,50,19,14,5,0,0,0,565,
"8113908",77,38,52,96,53,39,20,12,0,0,0,379,
"8113909",18,11,128,80,17,16,7,0,0,0,0,282,
"8113910",42,18,226,122,20,30,14,0,4,0,0,471,
"8113503",138,58,74,154,78,28,27,8,0,0,0,576,
"8113504",79,49,49,110,60,38,18,5,0,0,0,418,
"8104633",58,25,115,84,30,10,11,8,0,0,0,333,
"8112003",0,0,4,3,0,0,0,0,0,0,0,13,
"8106010",20,20,111,125,39,17,11,5,4,0,0,344,
"8104021",0,0,30,7,0,3,0,0,3,0,0,50,
"8104022",30,14,75,86,28,15,9,9,0,0,0,260,
"8104023",0,0,0,0,0,0,0,0,0,0,0,0,
"8111507",0,0,0,0,0,0,0,0,0,0,0,3,
"8105307",0,262,556,26,0,0,0,0,0,0,0,845,
"8105308",0,120,391,8,0,0,0,0,0,0,0,513,
"8106116",63,26,224,179,61,29,13,5,0,0,0,601,
"8103618",0,0,0,0,0,0,0,0,0,0,0,0,
"8107317",46,58,45,34,62,66,31,14,0,0,0,352,
"8108419",0,0,0,0,0,0,6,85,180,85,4,365,
"8103926",11,0,67,74,7,5,0,0,0,0,0,170,
"8103920",27,9,79,84,15,8,3,3,0,0,0,231,
"8103921",18,3,71,60,11,6,4,6,0,0,0,175,
"8112409",0,0,0,0,0,0,0,0,0,0,0,0,
"8104422",0,0,0,0,0,0,0,0,0,0,0,0,
"8101803",17,16,16,16,11,13,3,9,0,0,0,97,
"8108113",0,0,0,0,0,3,40,97,40,4,0,188,
"8104301",29,45,16,14,49,33,46,24,11,0,0,276,
"8112301",0,0,0,0,0,0,0,0,0,0,0,0,
"8104904",0,0,0,0,0,0,0,0,0,0,0,0,
"8107101",0,0,0,0,0,0,0,0,0,0,0,0,
"8107515",0,0,0,0,0,0,0,0,0,0,0,0,
"8100621",0,0,0,0,0,0,0,0,0,0,0,0,
"8103201",14,4,8,0,4,5,0,0,0,0,0,39,
"8111506",0,0,0,0,0,0,3,0,0,0,0,13,
"8114001",9,11,6,16,6,3,3,0,0,0,0,59,
"8113202",3,0,3,0,0,0,0,0,0,0,0,4,
"8113201",0,0,3,0,0,0,0,0,0,0,0,4,
"8108901",0,3,0,0,6,7,0,0,0,0,0,22,
"8114101",10,4,8,5,0,9,4,0,0,0,0,41,
"8101202",0,0,0,0,0,0,0,0,0,0,0,4,
"8109210",0,0,0,0,0,0,0,0,0,0,0,0,
"8111101",0,0,0,0,0,10,0,0,0,0,0,14,
"8111201",3,0,0,0,0,3,5,0,0,0,0,16,
"8104302",0,0,0,0,0,0,0,0,0,0,0,0,
"8113801",0,5,0,0,0,3,0,0,0,0,0,5,
"8111601",0,0,0,0,0,0,0,0,0,0,0,0,
"8114002",6,8,10,6,7,14,14,0,5,0,0,68,
"8113901",0,0,0,0,0,0,0,0,0,0,0,0,
"8111504",0,5,0,3,0,6,0,3,0,0,0,20,
"8114003",77,55,27,72,61,44,10,5,0,0,0,353,
"8111505",3,3,0,6,0,4,0,0,0,0,0,22,
"8112201",0,0,0,0,0,0,0,0,0,0,0,0,
"8101203",0,0,0,0,0,0,0,0,0,0,0,4,
"8114004",6,9,18,10,15,14,8,0,3,0,0,84,
"8112101",0,0,0,0,0,0,0,0,0,0,0,0,
"8111701",0,0,0,0,0,0,0,0,0,0,0,0,
"8111802",3,0,0,6,0,0,0,0,0,0,0,9,
"8113401",0,0,0,0,0,0,3,0,0,0,0,10,
"8113505",0,0,0,0,0,0,0,0,0,0,0,0,
"8113701",0,0,0,0,0,0,0,0,0,0,0,0,
"8113601",0,0,0,0,0,0,0,0,0,0,0,0,
"8112004",3,6,0,4,0,0,0,0,0,0,0,11,
"8979991",0,0,0,0,0,0,0,0,0,0,0,0,
"8949999",32,40,136,101,73,86,53,10,6,0,0,541,
"Total",52242,46741,63919,63822,54766,46794,36431,20688,9641,2302,53,397393,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
